iter	Passed	Remaining
0	1378	1377110
1	2742	1368374
2	4103	1363675
3	5477	1363942
4	6782	1349759
5	8106	1342908
6	9406	1334384
7	10711	1328226
8	12002	1321607
9	13332	1319922
10	14632	1315635
11	15942	1312570
12	17233	1308439
13	18558	1307039
14	19841	1302932
15	21165	1301698
16	22479	1299846
17	23783	1297526
18	25094	1295658
19	26420	1294586
20	27726	1292589
21	29024	1290287
22	30361	1289698
23	31658	1287442
24	32957	1285343
25	34264	1283608
26	35616	1283519
27	36920	1281665
28	38233	1280178
29	39548	1278737
30	40853	1277005
31	42162	1275425
32	43487	1274320
33	44805	1273010
34	46124	1271730
35	47414	1269645
36	48719	1268036
37	50003	1265875
38	51339	1265052
39	52666	1263990
40	53975	1262494
41	55325	1261959
42	56651	1260833
43	57944	1258984
44	59231	1257032
45	60578	1256355
46	61885	1254835
47	63224	1253950
48	64540	1252614
49	65888	1251874
50	67229	1250995
51	68546	1249648
52	69884	1248695
53	71182	1247016
54	72498	1245652
55	73818	1244369
56	75117	1242731
57	76412	1241041
58	77725	1239651
59	79025	1238070
60	80320	1236407
61	81633	1235032
62	82936	1233518
63	84289	1232732
64	85806	1234291
65	87089	1232451
66	88393	1230916
67	89711	1229575
68	91020	1228121
69	92334	1226735
70	93645	1225304
71	95000	1224449
72	96303	1222925
73	97637	1221789
74	98945	1220332
75	100291	1219332
76	101599	1217880
77	102891	1216226
78	104204	1214836
79	105510	1213372
80	106872	1212537
81	108171	1210998
82	109463	1209369
83	110783	1208065
84	112085	1206569
85	113396	1205172
86	114719	1203894
87	116054	1202747
88	117376	1201459
89	118701	1200204
90	120006	1198744
91	121314	1197316
92	122643	1196107
93	123988	1195041
94	125395	1194553
95	126727	1193350
96	128022	1191796
97	129339	1190449
98	130661	1189155
99	131960	1187647
100	133292	1186433
101	134597	1184986
102	135919	1183686
103	137250	1182468
104	138560	1181065
105	139879	1179736
106	141217	1178569
107	142545	1177318
108	143892	1176221
109	145233	1175072
110	146561	1173812
111	147890	1172562
112	149189	1171069
113	150515	1169799
114	151820	1168357
115	153128	1166946
116	154446	1165612
117	155815	1164651
118	157119	1163215
119	158452	1161982
120	159735	1160389
121	161063	1159131
122	162372	1157725
123	163706	1156507
124	165028	1155196
125	166320	1153686
126	167652	1152445
127	168953	1150997
128	170261	1149597
129	171615	1148503
130	172954	1147311
131	174278	1146011
132	175649	1145026
133	176990	1143832
134	178301	1142451
135	179630	1141183
136	180948	1139844
137	182246	1138378
138	183570	1137081
139	184923	1135957
140	186292	1134932
141	187670	1133951
142	189082	1133173
143	190411	1131891
144	191753	1130683
145	193054	1129237
146	194391	1127998
147	195693	1126561
148	196998	1125140
149	198339	1123925
150	199646	1122517
151	200969	1121196
152	202271	1119766
153	203571	1118319
154	204888	1116972
155	206209	1115648
156	207524	1114289
157	208826	1112862
158	210159	1111598
159	211470	1110217
160	212782	1108846
161	214104	1107526
162	215477	1106470
163	216851	1105412
164	218164	1104044
165	219484	1102711
166	220795	1101332
167	222095	1099900
168	223439	1098686
169	224756	1097339
170	226058	1095921
171	227364	1094520
172	228678	1093164
173	229992	1091805
174	231321	1090514
175	232614	1089058
176	233913	1087630
177	235260	1086428
178	236566	1085032
179	237876	1083659
180	239187	1082289
181	240516	1081004
182	241851	1079739
183	243183	1078467
184	244537	1077285
185	245873	1076029
186	247220	1074812
187	248607	1073770
188	249927	1072442
189	251236	1071061
190	252565	1069768
191	253919	1068577
192	255236	1067230
193	256551	1065879
194	257861	1064503
195	259184	1063185
196	260511	1061883
197	261837	1060573
198	263141	1059176
199	264462	1057848
200	265781	1056516
201	267087	1055127
202	268394	1053745
203	269738	1052510
204	271066	1051210
205	272396	1049917
206	273711	1048564
207	275070	1047385
208	276397	1046079
209	277709	1044717
210	279081	1043580
211	280381	1042174
212	281712	1040883
213	283017	1039495
214	284365	1038264
215	285659	1036838
216	286959	1035436
217	288257	1034023
218	289581	1032706
219	290888	1031331
220	292199	1029971
221	293516	1028631
222	294832	1027286
223	296156	1025970
224	297474	1024633
225	298799	1023320
226	300147	1022088
227	301500	1020870
228	302837	1019597
229	304141	1018212
230	305501	1017016
231	306835	1015732
232	308186	1014502
233	309517	1013207
234	310827	1011844
235	312146	1010508
236	313457	1009149
237	314769	1007789
238	316096	1006484
239	317439	1005226
240	318763	1003905
241	320094	1002610
242	321443	1001370
243	322789	1000118
244	324103	998769
245	325455	997532
246	326783	996226
247	328116	994933
248	329415	993539
249	330740	992222
250	332045	990845
251	333374	989538
252	334760	988403
253	336099	987127
254	337423	985804
255	338769	984547
256	340102	983252
257	341434	981953
258	342768	980662
259	344096	979352
260	345432	978064
261	346795	976852
262	348128	975552
263	349489	974334
264	350814	973014
265	352170	971777
266	353489	970439
267	354831	969166
268	356166	967872
269	357468	966489
270	358788	965155
271	360159	963956
272	361496	962667
273	362795	961274
274	364134	959991
275	365533	958862
276	366859	957543
277	368222	956319
278	369548	954999
279	370892	953724
280	372214	952393
281	373582	951179
282	374926	949901
283	376253	948583
284	377575	947250
285	378946	946040
286	380289	944760
287	381624	943461
288	382968	942181
289	384304	940883
290	385658	939629
291	387002	938348
292	388337	937045
293	389704	935820
294	391041	934523
295	392366	933196
296	393726	931950
297	395106	930753
298	396443	929454
299	397759	928106
300	399147	926923
301	400476	925604
302	401812	924301
303	403182	923074
304	404507	921746
305	405857	920474
306	407210	919206
307	408538	917884
308	409861	916550
309	411212	915278
310	412527	913927
311	413846	912583
312	415199	911317
313	416539	910019
314	417866	908693
315	419180	907340
316	420516	906034
317	421859	904741
318	423172	903387
319	424545	902159
320	425878	900845
321	427222	899554
322	428553	898237
323	429867	896884
324	431210	895590
325	432546	894284
326	433887	892985
327	435209	891649
328	436543	890337
329	437880	889030
330	439211	887710
331	440558	886424
332	441860	885047
333	443185	883717
334	444493	882351
335	445833	881052
336	447163	879730
337	448489	878402
338	449798	877039
339	451136	875734
340	452444	874372
341	453794	873089
342	455175	871867
343	456503	870541
344	457826	869206
345	459170	867911
346	460493	866576
347	461831	865271
348	463156	863939
349	464471	862589
350	465806	861278
351	467117	859920
352	468442	858590
353	469759	857244
354	471113	855966
355	472436	854632
356	473779	853334
357	475126	852043
358	476457	850721
359	477791	849407
360	479134	848107
361	480479	846812
362	481824	845514
363	483134	844158
364	484526	842943
365	485922	841735
366	487304	840501
367	488656	839214
368	489993	837902
369	491334	836595
370	492681	835300
371	494064	834066
372	495413	832772
373	496773	831497
374	498125	830208
375	499465	828899
376	500808	827595
377	502134	826264
378	503453	824919
379	504778	823586
380	506140	822313
381	507467	820981
382	508791	819646
383	510153	818371
384	511501	817074
385	512856	815787
386	514189	814466
387	515554	813194
388	516873	811849
389	518227	810561
390	519537	809202
391	520868	807877
392	522197	806550
393	523516	805205
394	524848	803881
395	526176	802551
396	527516	801240
397	528874	799956
398	530187	798602
399	531534	797302
400	532852	795957
401	534196	794649
402	535559	793371
403	536882	792034
404	538208	790700
405	539527	789357
406	540856	788028
407	542200	786722
408	543534	785400
409	544929	784166
410	546244	782817
411	547603	781530
412	548967	780252
413	550324	778961
414	551656	777635
415	553155	776545
416	554583	775352
417	556323	774593
418	558194	774012
419	559581	772756
420	560987	771524
421	562371	770262
422	564039	769387
423	565754	768572
424	567327	767561
425	568919	766572
426	570611	765714
427	572015	764469
428	573405	763203
429	574812	761960
430	576201	760692
431	577588	759422
432	578953	758121
433	580345	756856
434	581694	755534
435	583050	754221
436	584377	752870
437	585729	751552
438	587084	750238
439	588480	748974
440	589842	747668
441	591206	746364
442	592554	745040
443	593911	743726
444	595273	742419
445	596603	741072
446	597926	739716
447	599234	738342
448	600577	737011
449	601938	735703
450	603272	734360
451	604673	733099
452	606031	731786
453	607379	730461
454	608721	729127
455	610070	727802
456	611385	726438
457	612709	725084
458	614079	723784
459	615427	722458
460	616742	721093
461	618101	719780
462	619439	718443
463	620769	717096
464	622102	715752
465	623446	714421
466	624784	713083
467	626125	711749
468	627470	710419
469	628797	709069
470	630125	707720
471	631482	706403
472	632793	705036
473	634141	703709
474	635512	702408
475	636872	701094
476	638223	699771
477	639590	698464
478	640904	697100
479	642223	695741
480	643573	694417
481	644865	693029
482	646186	691673
483	647513	690324
484	648861	688997
485	650214	687675
486	651593	686380
487	652901	685010
488	654243	683677
489	655584	682342
490	656920	681003
491	658253	679660
492	659584	678315
493	660929	676984
494	662270	675650
495	663631	674335
496	665036	673065
497	666378	671730
498	667707	670383
499	669080	669080
500	670414	667738
501	671991	666637
502	673432	665399
503	674815	664104
504	676157	662768
505	677557	661488
506	678899	660152
507	680240	658815
508	681606	657502
509	683100	656312
510	684468	655000
511	685813	653665
512	687194	652366
513	688645	651131
514	690033	649837
515	691385	648508
516	692746	647188
517	694079	645842
