iter	RMSE
0	0.2316420315
1	0.2297646279
2	0.2279690985
3	0.2262680816
4	0.2246622847
5	0.2229106598
6	0.2214571927
7	0.2200814404
8	0.2187729329
9	0.2175319378
10	0.2163591112
11	0.215250039
12	0.2142004594
13	0.2132037939
14	0.2122576104
15	0.2113647593
16	0.2105214617
17	0.2097219116
18	0.2089616714
19	0.2082446302
20	0.2075672717
21	0.2069316194
22	0.2063258504
23	0.2057442581
24	0.2052058194
25	0.2046917312
26	0.2042081299
27	0.2037366791
28	0.2033016034
29	0.2022097846
30	0.201821983
31	0.2014557818
32	0.2011116394
33	0.2007826529
34	0.2002782227
35	0.1999825107
36	0.199068884
37	0.1988075233
38	0.1983665397
39	0.1980382389
40	0.1978129447
41	0.1976041026
42	0.1974031322
43	0.1972100046
44	0.1970303308
45	0.1968581216
46	0.1965346977
47	0.1958018479
48	0.1956532643
49	0.1955134493
50	0.1953848996
51	0.1952606595
52	0.1951428922
53	0.1950312099
54	0.1949262961
55	0.1948126361
56	0.1941703271
57	0.1940763318
58	0.1939908417
59	0.1939079142
60	0.1938318157
61	0.1937246737
62	0.1931071049
63	0.1930321347
64	0.1924545825
65	0.1923939228
66	0.1923364681
67	0.1922619715
68	0.1922110331
69	0.1921589134
70	0.192112441
71	0.1920688642
72	0.1920269458
73	0.1915167627
74	0.1910172257
75	0.1909756735
76	0.1909396257
77	0.1909023867
78	0.1908137177
79	0.1907818531
80	0.1907493194
81	0.1903683082
82	0.1899666449
83	0.1899367915
84	0.1899127675
85	0.1895124403
86	0.1894901036
87	0.1893718631
88	0.188994302
89	0.188966966
90	0.1889322564
91	0.1889145068
92	0.1888845725
93	0.1888682417
94	0.1885201333
95	0.1885014592
96	0.1884870397
97	0.1884635539
98	0.1884495843
99	0.1884356902
100	0.1884232142
101	0.1884102082
102	0.1883967883
103	0.188077743
104	0.1877582824
105	0.1874750591
106	0.1874636955
107	0.1874483423
108	0.1874284573
109	0.1873055241
110	0.1872911499
111	0.1872799638
112	0.1872705118
113	0.1872599428
114	0.1869805108
115	0.1869722018
116	0.1869625251
117	0.1867139643
118	0.1864747772
119	0.1864656679
120	0.1864554209
121	0.1864459431
122	0.1864356847
123	0.1864260478
124	0.1861971553
125	0.1861886225
126	0.1861783533
127	0.1861697461
128	0.1861625392
129	0.1861533434
130	0.1859316691
131	0.185720101
132	0.1857117349
133	0.1857074691
134	0.1855104544
135	0.1854784714
136	0.1853017448
137	0.1852871657
138	0.1852788242
139	0.1850959952
140	0.1849326562
141	0.1849262994
142	0.1847630276
143	0.184753551
144	0.1847465802
145	0.184742444
146	0.1845889128
147	0.1845835115
148	0.1845788743
149	0.1845332989
150	0.1845193539
151	0.1845128369
152	0.1844911693
153	0.1844611232
154	0.1843145875
155	0.1843086516
156	0.1841792132
157	0.1840608869
158	0.1839410679
159	0.1838308711
160	0.1838260942
161	0.1838224322
162	0.1837345872
163	0.1837304182
164	0.1837276213
165	0.1837122775
166	0.1837070128
167	0.1837035029
168	0.1836997412
169	0.1835993235
170	0.1835936964
171	0.1835911065
172	0.1835838779
173	0.1835780468
174	0.1834752771
175	0.1834699688
176	0.183382394
177	0.1833770451
178	0.183374943
179	0.1833708583
180	0.1832933627
181	0.1832901053
182	0.1832791747
183	0.1832748256
184	0.1832712846
185	0.1832648703
186	0.1832497087
187	0.183245334
188	0.1831624875
189	0.1831602287
190	0.1831559718
191	0.183151627
192	0.1830788959
193	0.1830699624
194	0.1830664894
195	0.1830595423
196	0.1829936464
197	0.1829307384
198	0.1829275242
199	0.1828644858
200	0.1828019795
201	0.1827483052
202	0.1827267073
203	0.1827227418
204	0.1827132305
205	0.1827032604
206	0.1826688144
207	0.1826164304
208	0.1825999626
209	0.1825958746
210	0.182539425
211	0.1825333066
212	0.1824877007
213	0.1824680302
214	0.1824558828
215	0.1824193794
216	0.1823742788
217	0.1823712904
218	0.1823666219
219	0.1823455053
220	0.182343031
221	0.1823343983
222	0.1822957775
223	0.1822910139
224	0.1822854207
225	0.1822821509
226	0.1822791115
227	0.1822768328
228	0.1822675287
229	0.1822218958
230	0.1822190065
231	0.1822146694
232	0.1822093751
233	0.1822075108
234	0.182199942
235	0.1821694476
236	0.1821602028
237	0.1821567956
238	0.1821527989
239	0.1821127059
240	0.1821048477
241	0.182092334
242	0.1820606912
243	0.1820518476
244	0.1820497688
245	0.1820466203
246	0.1820433942
247	0.1820307392
248	0.1820015835
249	0.1819716384
250	0.1819431427
251	0.181939655
252	0.18191064
253	0.1819071408
254	0.1818651877
255	0.1818623143
256	0.1818602108
257	0.1818548582
258	0.1818365352
259	0.1818328002
260	0.1817972926
261	0.181784764
262	0.1817820661
263	0.1817785552
264	0.1817602619
265	0.1817587264
266	0.1817563914
267	0.181733403
268	0.1817265823
269	0.1817220154
270	0.1817112464
271	0.1816866047
272	0.1816848942
273	0.1816828198
274	0.1816780156
275	0.1816756126
276	0.1816718474
277	0.1816685332
278	0.1816667369
279	0.1816643391
280	0.1816578327
281	0.1816556476
282	0.181651895
283	0.1816444419
284	0.1816220213
285	0.1816192911
286	0.1816152772
287	0.1816123756
288	0.1815876335
289	0.1815848639
290	0.1815826364
291	0.1815622076
292	0.1815559803
293	0.1815468439
294	0.1815260615
295	0.181522749
296	0.1815204294
297	0.1814896073
298	0.1814845897
299	0.1814645836
300	0.1814609028
301	0.1814472612
302	0.1814442687
303	0.1814163688
304	0.1814121671
305	0.1814103689
306	0.1814077042
307	0.1814044307
308	0.1814025061
309	0.1813989427
310	0.1813968084
311	0.1813758999
312	0.1813722638
313	0.1813658578
314	0.1813466364
315	0.1813400263
316	0.1813354922
317	0.1813065876
318	0.1812913369
319	0.1812866897
320	0.1812849359
321	0.1812829176
322	0.1812788703
323	0.1812733181
324	0.1812698168
325	0.1812436361
326	0.1812419711
327	0.1812220905
328	0.1812190446
329	0.1812176763
330	0.1811944433
331	0.1811906537
332	0.1811887829
333	0.1811860939
334	0.1811832279
335	0.1811768187
336	0.1811741897
337	0.1811535046
338	0.1811378429
339	0.1811341773
340	0.1811258457
341	0.1811239786
342	0.1811171634
343	0.1811143133
344	0.1811122063
345	0.1811018815
346	0.1810972367
347	0.1810913317
348	0.1810668346
349	0.1810607831
350	0.1810575784
351	0.1810378674
352	0.1810368504
353	0.1810339345
354	0.1810277596
355	0.1810240575
356	0.1810215797
357	0.1810175722
358	0.1810150538
359	0.1810122232
360	0.1810103674
361	0.180992432
362	0.1809717731
363	0.1809692655
364	0.1809661601
365	0.1809644416
366	0.180963046
367	0.1809554663
368	0.1809542373
369	0.1809453844
370	0.1809430025
371	0.1809402539
372	0.1809373556
373	0.1809321343
374	0.1809263844
375	0.1809242359
376	0.1809215169
377	0.1809196233
378	0.1809165516
379	0.1809037526
380	0.180889508
381	0.1808871068
382	0.180884982
383	0.1808829689
384	0.1808798161
385	0.1808753625
386	0.1808731534
387	0.1808710366
388	0.18086797
389	0.1808597748
390	0.1808560329
391	0.1808532045
392	0.1808511016
393	0.180841736
394	0.180836177
395	0.1808345211
396	0.1808321523
397	0.1808295945
398	0.1808269147
399	0.1808257733
400	0.1808195312
401	0.1808103972
402	0.1808086435
403	0.1808058381
404	0.1807974902
405	0.1807952363
406	0.1807896352
407	0.1807768709
408	0.1807753078
409	0.1807733998
410	0.180770651
411	0.1807685302
412	0.1807635818
413	0.180761601
414	0.1807603736
415	0.1807586296
416	0.1807575566
417	0.1807326286
418	0.1807232819
419	0.1807074253
420	0.1807022279
421	0.1807006758
422	0.1806958255
423	0.1806899941
424	0.1806670687
425	0.1806645179
426	0.1806623412
427	0.1806594973
428	0.1806327262
429	0.1806306971
430	0.1806284255
431	0.1806181194
432	0.1806171059
433	0.1806122727
434	0.1806115412
435	0.1806108954
436	0.1806084255
437	0.1805971896
438	0.1805948927
439	0.1805935043
440	0.1805791286
441	0.1805730052
442	0.1805441735
443	0.1805421564
444	0.1805323169
445	0.1805309664
446	0.1805279728
447	0.1805256366
448	0.1805228854
449	0.1805189614
450	0.1805116421
451	0.180510129
452	0.1805085816
453	0.180506857
454	0.1805041299
455	0.1805016142
456	0.1804980287
457	0.180493978
458	0.1804849498
459	0.1804793799
460	0.1804643201
461	0.1804628235
462	0.1804561932
463	0.1804537832
464	0.180449331
465	0.1804465984
466	0.1804439712
467	0.1804412445
468	0.1804390778
469	0.1804371092
470	0.1804355868
471	0.1804336791
472	0.1804320968
473	0.1804280886
474	0.1804257319
475	0.1804151537
476	0.1804143014
477	0.1804103199
478	0.1804093536
479	0.1804068915
480	0.1803944407
481	0.1803925612
482	0.1803888522
483	0.1803852995
484	0.180382078
485	0.1803802891
