iter	Passed	Remaining
0	1758	1756789
1	2813	1403744
2	3768	1252406
3	4727	1177187
4	5691	1132616
5	6660	1103399
6	7727	1096233
7	8657	1073472
8	9565	1053287
9	10508	1040323
10	11473	1031553
11	12416	1022316
12	13350	1013646
13	14309	1007808
14	15239	1000739
15	16298	1002343
16	17233	996518
17	18165	991052
18	19087	985537
19	19994	979709
20	20886	973715
21	21708	965060
22	22529	957031
23	23382	950897
24	24297	947596
25	25197	943924
26	26142	942104
27	27560	956730
28	28789	963942
29	29757	962167
30	30644	957884
31	31594	955722
32	32900	964075
33	33912	963517
34	35413	976410
35	36694	982603
36	38045	990212
37	39337	995849
38	40556	999352
39	41856	1004554
40	42883	1003054
41	44009	1003834
42	45123	1004251
43	46049	1000526
44	46993	997304
45	48002	995535
46	49589	1005505
47	50883	1009182
48	52611	1021091
49	53947	1024999
50	55023	1023869
51	56346	1027235
52	57874	1034091
53	59106	1035450
54	60253	1035262
55	61668	1039560
56	62757	1038243
57	64185	1042456
58	65650	1047072
59	66751	1045778
60	68322	1051712
61	69564	1052443
62	71466	1062923
63	72836	1065230
64	74093	1065804
65	75048	1062055
66	75962	1057811
67	77087	1056556
68	78440	1058375
69	79530	1056615
70	80433	1052435
71	81352	1048541
72	82512	1047799
73	83592	1046037
74	84639	1043887
75	85780	1042905
76	86972	1042539
77	88147	1041944
78	89474	1043114
79	90943	1045849
80	92120	1045168
81	93540	1047193
82	94629	1045484
83	95724	1043851
84	96675	1040681
85	97787	1039273
86	98760	1036419
87	99638	1032621
88	100532	1029049
89	101454	1025820
90	102325	1022135
91	103229	1018832
92	104124	1015489
93	105046	1012465
94	105938	1009201
95	106795	1005659
96	107698	1002595
97	108599	999554
98	109501	996578
99	110362	993259
100	111585	993218
101	113292	997415
102	114534	997451
103	115484	994942
104	116422	992363
105	117315	989432
106	118271	987066
107	119177	984319
108	120132	981997
109	121339	981747
110	122826	983720
111	124459	986788
112	125552	985534
113	126649	984310
114	127773	983298
115	128942	982634
116	130603	985669
117	132548	990745
118	134241	993838
119	135582	994274
120	136693	993004
121	137817	991835
122	139258	992925
123	140503	992590
124	141463	990243
125	142531	988670
126	143974	989686
127	145620	992040
128	146756	990889
129	147730	988658
130	148639	986011
131	149540	983343
132	150461	980827
133	151584	979641
134	152852	979385
135	154028	978533
136	155119	977139
137	156455	977282
138	157645	976496
139	158858	975843
140	159936	974364
141	161195	973986
142	162328	972836
143	163183	970034
144	164021	967163
145	164935	964759
146	165820	962207
147	166696	959633
148	167662	957587
149	168575	955263
150	169616	953670
151	170705	952356
152	171738	950732
153	172897	949814
154	173854	947788
155	174754	945464
156	175637	943071
157	176531	940754
158	177504	938876
159	178396	936583
160	179315	934444
161	180218	932241
162	181120	930049
163	181996	927736
164	182854	925352
165	183830	923581
166	184938	922479
167	186088	921578
168	187087	919940
169	188259	919147
170	190189	922031
171	191907	923834
172	193347	924266
173	194568	923640
174	195721	922685
175	196970	922180
176	198585	923365
177	199674	922093
178	200609	920115
179	201850	919541
180	202819	917731
181	203799	915976
182	204882	914694
183	205978	913469
184	207123	912464
185	208231	911292
186	209362	910222
187	210325	908427
188	211495	907530
189	212747	906976
190	213922	906088
191	215093	905186
192	216435	904993
193	217628	904167
194	218670	902716
195	220095	902840
196	221597	903262
197	222851	902659
198	223995	901610
199	225116	900464
200	226303	899582
201	227357	898173
202	228769	898175
203	230244	898406
204	231457	897603
205	232885	897626
206	234747	899299
